2026-07-05 01:39 | univers 6 | positions 4 | equity 99911.11 (-88.89) | net demarrage
2026-07-05 01:46 | controle pairs: ATTENTION 8/9 manquants: DOGE (perp PF_XDGUSD absent) | positions 4 | equity 99957.38 (-42.62) | net demarrage
2026-07-05 01:50 | controle pairs: OK 9/9 | positions 4 | equity 99987.36 (-12.64) | net demarrage
2026-07-05 01:53 | controle pairs: OK 9/9 | positions 4 | equity 99973.52 (-26.48) | net demarrage
2026-07-05 02:00 | controle pairs: OK 9/9 | positions 4 | equity 99966.09 (-33.91) | net demarrage
2026-07-05 03:00 | controle pairs: OK 9/9 | positions 4 | equity 99944.60 (-55.40) | net demarrage
2026-07-05 04:00 | controle pairs: OK 9/9 | positions 4 | equity 99971.11 (-28.89) | net demarrage
2026-07-05 05:00 | controle pairs: OK 9/9 | positions 4 | equity 100007.30 (+7.30) | net demarrage
2026-07-05 06:00 | controle pairs: OK 9/9 | positions 4 | equity 99976.76 (-23.24) | net demarrage
2026-07-05 07:00 | controle pairs: OK 9/9 | positions 4 | equity 99960.32 (-39.68) | net demarrage
2026-07-05 08:00 | controle pairs: OK 9/9 | positions 4 | equity 99984.74 (-15.26) | net demarrage
2026-07-05 09:00 | controle pairs: OK 9/9 | positions 4 | equity 99992.86 (-7.14) | net demarrage
2026-07-05 10:00 | controle pairs: OK 9/9 | positions 4 | equity 99979.99 (-20.01) | net demarrage
2026-07-05 11:00 | controle pairs: OK 9/9 | positions 4 | equity 99966.98 (-33.02) | net demarrage
2026-07-05 12:00 | controle pairs: OK 9/9 | positions 4 | equity 99979.28 (-20.72) | net demarrage
2026-07-05 13:00 | controle pairs: OK 9/9 | positions 4 | equity 99972.88 (-27.12) | net demarrage
2026-07-05 14:00 | controle pairs: OK 9/9 | positions 4 | equity 99973.68 (-26.32) | net demarrage
2026-07-05 15:00 | controle pairs: OK 9/9 | positions 4 | equity 99962.60 (-37.40) | net demarrage
2026-07-05 16:00 | controle pairs: OK 9/9 | positions 4 | equity 99977.81 (-22.19) | net demarrage
2026-07-05 17:00 | controle pairs: OK 9/9 | positions 4 | equity 99982.86 (-17.14) | net demarrage
2026-07-05 18:00 | controle pairs: OK 9/9 | positions 4 | equity 99983.94 (-16.06) | net demarrage
2026-07-05 19:00 | controle pairs: OK 9/9 | positions 4 | equity 100004.74 (+4.74) | net demarrage
2026-07-05 20:00 | controle pairs: OK 9/9 | positions 4 | equity 99956.03 (-43.97) | net demarrage
2026-07-05 21:00 | controle pairs: OK 9/9 | positions 4 | equity 99974.82 (-25.18) | net demarrage
2026-07-05 22:00 | controle pairs: OK 9/9 | positions 4 | equity 100023.39 (+23.39) | net demarrage
2026-07-05 23:00 | controle pairs: OK 9/9 | positions 4 | equity 99981.14 (-18.86) | net demarrage
2026-07-06 00:00 | controle pairs: OK 9/9 | positions 4 | equity 99979.41 (-20.59) | net demarrage
2026-07-06 01:00 | controle pairs: OK 9/9 | positions 4 | equity 99973.71 (-26.29) | net demarrage
2026-07-06 02:00 | controle pairs: OK 9/9 | positions 7 | equity 99872.02 (-127.98) | net demarrage
2026-07-06 03:00 | controle pairs: OK 9/9 | positions 7 | equity 99888.46 (-111.54) | net demarrage
2026-07-06 04:00 | controle pairs: OK 9/9 | positions 7 | equity 99867.93 (-132.07) | net demarrage
2026-07-06 05:00 | controle pairs: OK 9/9 | positions 7 | equity 99861.71 (-138.29) | net demarrage
2026-07-06 06:00 | controle pairs: OK 9/9 | positions 7 | equity 99887.99 (-112.01) | net demarrage
2026-07-06 07:00 | controle pairs: OK 9/9 | positions 7 | equity 99879.32 (-120.68) | net demarrage
2026-07-06 08:00 | controle pairs: OK 9/9 | positions 7 | equity 99891.75 (-108.25) | net demarrage
2026-07-06 09:00 | controle pairs: OK 9/9 | positions 7 | equity 99867.05 (-132.95) | net demarrage
2026-07-06 10:00 | controle pairs: OK 9/9 | positions 7 | equity 99891.77 (-108.23) | net demarrage
2026-07-06 11:00 | controle pairs: OK 9/9 | positions 7 | equity 99851.68 (-148.32) | net demarrage
2026-07-06 12:00 | controle pairs: OK 9/9 | positions 7 | equity 99899.39 (-100.61) | net demarrage
2026-07-06 13:00 | controle pairs: OK 9/9 | positions 7 | equity 99895.48 (-104.52) | net demarrage
2026-07-06 14:00 | controle pairs: OK 9/9 | positions 7 | equity 99906.53 (-93.47) | net demarrage
2026-07-06 15:00 | controle pairs: OK 9/9 | positions 7 | equity 99839.48 (-160.52) | net demarrage
2026-07-06 16:00 | controle pairs: OK 9/9 | positions 7 | equity 99861.80 (-138.20) | net demarrage
2026-07-06 17:00 | controle pairs: OK 9/9 | positions 7 | equity 99876.87 (-123.13) | net demarrage
2026-07-06 18:00 | controle pairs: OK 9/9 | positions 7 | equity 99895.62 (-104.38) | net demarrage
2026-07-06 19:00 | controle pairs: OK 9/9 | positions 7 | equity 99882.72 (-117.28) | net demarrage
2026-07-06 20:00 | controle pairs: OK 9/9 | positions 7 | equity 99881.00 (-119.00) | net demarrage
2026-07-06 21:00 | controle pairs: OK 9/9 | positions 7 | equity 99894.04 (-105.96) | net demarrage
2026-07-06 22:00 | controle pairs: OK 9/9 | positions 7 | equity 99852.02 (-147.98) | net demarrage
2026-07-06 23:00 | controle pairs: OK 9/9 | positions 7 | equity 99873.48 (-126.52) | net demarrage
2026-07-07 00:00 | controle pairs: OK 9/9 | positions 7 | equity 99861.20 (-138.80) | net demarrage
2026-07-07 01:00 | controle pairs: OK 9/9 | positions 7 | equity 99893.22 (-106.78) | net demarrage
2026-07-07 02:00 | controle pairs: OK 9/9 | positions 7 | equity 99904.46 (-95.54) | net -17.3%/an
2026-07-07 03:00 | controle pairs: OK 9/9 | positions 6 | equity 99814.13 (-185.87) | net -33.0%/an
2026-07-07 04:00 | controle pairs: OK 9/9 | positions 6 | equity 99823.29 (-176.71) | net -30.8%/an
2026-07-07 05:00 | controle pairs: OK 9/9 | positions 6 | equity 99816.13 (-183.87) | net -31.4%/an
2026-07-07 06:00 | controle pairs: OK 9/9 | positions 6 | equity 99826.82 (-173.18) | net -29.0%/an
2026-07-07 07:00 | controle pairs: OK 9/9 | positions 6 | equity 99826.92 (-173.08) | net -28.4%/an
2026-07-07 08:00 | controle pairs: OK 9/9 | positions 6 | equity 99806.75 (-193.25) | net -31.2%/an
2026-07-07 09:00 | controle pairs: OK 9/9 | positions 6 | equity 99826.06 (-173.94) | net -27.5%/an
2026-07-07 10:00 | controle pairs: OK 9/9 | positions 6 | equity 99825.82 (-174.18) | net -27.1%/an
2026-07-07 11:00 | controle pairs: OK 9/9 | positions 6 | equity 99804.19 (-195.81) | net -29.9%/an
2026-07-07 12:00 | controle pairs: OK 9/9 | positions 6 | equity 99803.77 (-196.23) | net -29.5%/an
2026-07-07 13:00 | controle pairs: OK 9/9 | positions 6 | equity 99813.00 (-187.00) | net -27.6%/an
2026-07-07 14:00 | controle pairs: OK 9/9 | positions 6 | equity 99823.94 (-176.06) | net -25.6%/an
2026-07-07 15:00 | controle pairs: OK 9/9 | positions 6 | equity 99796.63 (-203.37) | net -29.1%/an
2026-07-07 16:00 | controle pairs: OK 9/9 | positions 6 | equity 99815.22 (-184.78) | net -26.0%/an
2026-07-07 17:00 | controle pairs: OK 9/9 | positions 6 | equity 99833.02 (-166.98) | net -23.1%/an
2026-07-07 18:00 | controle pairs: OK 9/9 | positions 6 | equity 99801.24 (-198.76) | net -27.1%/an
2026-07-07 19:00 | controle pairs: OK 9/9 | positions 6 | equity 99818.48 (-181.52) | net -24.3%/an
2026-07-07 20:00 | controle pairs: OK 9/9 | positions 6 | equity 99806.83 (-193.17) | net -25.5%/an
2026-07-07 21:00 | controle pairs: OK 9/9 | positions 6 | equity 99815.51 (-184.49) | net -24.0%/an
2026-07-07 22:00 | controle pairs: OK 9/9 | positions 6 | equity 99820.29 (-179.71) | net -23.0%/an
2026-07-07 23:00 | controle pairs: OK 9/9 | positions 6 | equity 99829.53 (-170.47) | net -21.5%/an
2026-07-08 00:00 | controle pairs: OK 9/9 | positions 6 | equity 99785.50 (-214.50) | net -26.7%/an
2026-07-08 01:00 | controle pairs: OK 9/9 | positions 6 | equity 99808.99 (-191.01) | net -23.5%/an
2026-07-08 02:00 | controle pairs: OK 9/9 | positions 6 | equity 99834.58 (-165.42) | net -20.0%/an
2026-07-08 03:00 | controle pairs: OK 9/9 | positions 2 | equity 99717.93 (-282.07) | net -33.7%/an
2026-07-08 04:00 | controle pairs: OK 9/9 | positions 2 | equity 99722.98 (-277.02) | net -32.7%/an
2026-07-08 05:00 | controle pairs: OK 9/9 | positions 2 | equity 99726.00 (-274.00) | net -31.9%/an
2026-07-08 06:00 | controle pairs: OK 9/9 | positions 2 | equity 99728.16 (-271.84) | net -31.2%/an
2026-07-08 07:00 | controle pairs: OK 9/9 | positions 2 | equity 99720.20 (-279.80) | net -31.7%/an
2026-07-08 08:00 | controle pairs: OK 9/9 | positions 2 | equity 99733.32 (-266.68) | net -29.8%/an
