Paires USD a agreger : 413
  [  1/413] 1INCH/USD     80594 bougies 15m | 5s ecoules | ETA 35min
  [  2/413] AAVE/USD     162051 bougies 15m | 15s ecoules | ETA 52min
  [  3/413] ACA/USD       43893 bougies 15m | 18s ecoules | ETA 41min
  [  4/413] ACH/USD       70315 bougies 15m | 22s ecoules | ETA 38min
  [  5/413] ACT/USD       13630 bougies 15m | 23s ecoules | ETA 31min
  [  6/413] ACX/USD        6202 bougies 15m | 23s ecoules | ETA 26min
  [  7/413] ADA/USD      240323 bougies 15m | 43s ecoules | ETA 41min
  [  8/413] ADX/USD       20912 bougies 15m | 44s ecoules | ETA 37min
  [  9/413] AERO/USD      25458 bougies 15m | 46s ecoules | ETA 34min
  [ 10/413] AEVO/USD      20095 bougies 15m | 47s ecoules | ETA 32min
  [ 11/413] AGLD/USD      15561 bougies 15m | 48s ecoules | ETA 29min
  [ 12/413] AI16Z/USD     14377 bougies 15m | 49s ecoules | ETA 27min
  [ 13/413] AIR/USD       52018 bougies 15m | 53s ecoules | ETA 27min
  [ 14/413] AIXBT/USD     17102 bougies 15m | 54s ecoules | ETA 25min
  [ 15/413] AKT/USD      100160 bougies 15m | 60s ecoules | ETA 27min
  [ 16/413] ALCH/USD       6457 bougies 15m | 61s ecoules | ETA 25min
  [ 17/413] ALCX/USD      37154 bougies 15m | 63s ecoules | ETA 25min
  [ 18/413] ALGO/USD     192617 bougies 15m | 76s ecoules | ETA 28min
  [ 19/413] ALICE/USD     18106 bougies 15m | 77s ecoules | ETA 27min
  [ 20/413] ALPHA/USD     35289 bougies 15m | 80s ecoules | ETA 26min
  [ 21/413] ALT/USD       16596 bougies 15m | 81s ecoules | ETA 25min
  [ 22/413] ANKR/USD      81364 bougies 15m | 86s ecoules | ETA 25min
  [ 23/413] ANLOG/USD      4593 bougies 15m | 86s ecoules | ETA 24min
  [ 24/413] ANON/USD      14094 bougies 15m | 87s ecoules | ETA 23min
  [ 25/413] ANT/USD       69750 bougies 15m | 91s ecoules | ETA 24min
  [ 26/413] APENFT/USD    10700 bougies 15m | 92s ecoules | ETA 23min
  [ 27/413] APE/USD      101760 bougies 15m | 98s ecoules | ETA 23min
  [ 28/413] API3/USD      60931 bougies 15m | 101s ecoules | ETA 23min
  [ 29/413] APT/USD       90252 bougies 15m | 107s ecoules | ETA 24min
  [ 30/413] APU/USD       32980 bougies 15m | 109s ecoules | ETA 23min
  [ 31/413] ARB/USD       88521 bougies 15m | 114s ecoules | ETA 23min
  [ 32/413] ARC/USD        5842 bougies 15m | 114s ecoules | ETA 23min
  [ 33/413] ARKM/USD      32973 bougies 15m | 116s ecoules | ETA 22min
  [ 34/413] ARPA/USD      29746 bougies 15m | 118s ecoules | ETA 22min
  [ 35/413] AR/USD        17339 bougies 15m | 119s ecoules | ETA 21min
  [ 36/413] ASTR/USD      74229 bougies 15m | 123s ecoules | ETA 22min
  [ 37/413] ATH/USD       33185 bougies 15m | 125s ecoules | ETA 21min
  [ 38/413] ATLAS/USD     60667 bougies 15m | 129s ecoules | ETA 21min
  [ 39/413] ATOM/USD     210212 bougies 15m | 143s ecoules | ETA 23min
  [ 40/413] AUCTION/USD   13268 bougies 15m | 144s ecoules | ETA 22min
  [ 41/413] AUDIO/USD     37771 bougies 15m | 146s ecoules | ETA 22min
  [ 42/413] AUD/USD      161088 bougies 15m | 156s ecoules | ETA 23min
  [ 43/413] AVAAI/USD      9174 bougies 15m | 156s ecoules | ETA 22min
  [ 44/413] AVAX/USD     138362 bougies 15m | 165s ecoules | ETA 23min
